wagnum,rem_month,rod_id,model,st_id_send,st_id_rem,distance
24008,1675123200,1,12-132,4421,4387,135
20983,1675123200,1,12-9788-01,4421,4387,169
21541,1675123200,1,12-783,5230,5870,973
7263,1675123200,0,11-286,5230,12627,1437
26401,1675123200,1,12-296-01,7306,12627,262
16111,1675123200,0,11-280,5965,5870,189
7169,1675123200,0,11-280,10847,10049,850
25697,1675123200,1,12-132-03,6995,6876,240
26664,1675123200,1,12-132,6995,6876,290
26763,1675123200,1,12-600-05,12326,10364,5905
2075,1675123200,0,11-2135-01,11833,11497,1655
24082,1675123200,1,12-296-01,7761,9196,904
29177,1675123200,1,12-955,486,392,872
29655,1675123200,1,12-132,15985,11305,5935
14250,1675123200,1,12-132,10175,10150,88
8148,1675123200,0,11-286,11833,11891,673
5729,1675123200,0,11-276,434,392,2091
27574,1675123200,1,12-132,6153,6279,216
1816,1675123200,0,11-2135-01,12281,12281,4062
914,1675123200,0,11-1807-01,12281,12281,4043
25669,1675123200,1,12-132-03,5032,12605,858
5717,1675123200,0,11-276,3604,3457,461
7910,1675123200,0,11-286,5352,5310,223
19089,1675123200,0,11-280,5352,6168,1354
33555,1675123200,1,12-1303-01,4420,12604,59
9125,1675123200,0,11-286,5965,5870,225
27183,1675123200,1,12-132,4421,12597,739
27561,1675123200,1,12-132,10177,10364,448
31640,1675123200,1,12-132,12387,11891,2891
29183,1675123200,1,12-4102,385,385,2398
24603,1675123200,0,11-1807-01,10847,10049,831
24865,1675123200,1,12-132,10016,10364,199
26652,1675123200,1,12-132,10375,10364,146
24388,1675123200,1,12-132,10016,10364,201
5103,1675123200,0,11-2135-01,498,2400,1499
5118,1675123200,0,11-9962,498,2400,1459
4362,1675123200,0,11-2135-01,498,2400,1483
13643,1675123200,1,12-132-03,6152,4789,333
24058,1675123200,1,12-296-01,4421,12604,89
25277,1675123200,1,12-132-03,12429,10364,5790
32298,1675123200,1,12-132,7668,7286,823
15447,1675123200,1,12-132,12393,10951,6094
4365,1675123200,0,11-2135-01,2042,2042,134
24541,1675123200,1,12-132,6152,4789,348
28182,1675123200,1,12-132-03,10016,10364,217
24185,1675123200,1,12-132,9973,9973,187
28093,1675123200,1,12-132-03,6152,4789,305
23549,1675123200,1,12-132,4420,12597,766
25980,1675036800,1,12-132-03,6152,6279,40
25017,1675036800,1,12-132,4789,4789,2
25564,1675036800,1,12-132-03,6996,7039,256
21081,1675036800,1,12-9788-01,4421,4387,148
291,1675036800,0,11-280,5965,5960,81
20263,1675036800,1,12-132-03,11000,10737,372
27099,1675036800,1,12-132-03,10846,10737,342
24045,1675036800,1,12-296-01,12327,11305,5938
15927,1675036800,0,11-280,498,392,26
19327,1675036800,0,11-286,10165,10150,93
25628,1675036800,1,12-132-03,10950,10737,378
8674,1675036800,0,11-286,6156,12627,356
8677,1675036800,0,11-286,7602,7827,388
8403,1675036800,0,11-286,7578,7827,260
26236,1675036800,1,12-600-05,10363,10364,93
29388,1675036800,1,12-132,10950,10364,922
9415,1675036800,0,11-286,11681,10364,2829
16858,1675036800,1,12-7023-02,10852,10364,529
11122,1675036800,1,12-600-05,12202,10364,5413
9466,1675036800,0,11-286,7602,7827,400
29048,1675036800,1,12-295,216,80,1492
18743,1675036800,0,11-280,5352,12627,1530
4620,1675036800,0,11-9962,2125,12594,86
18734,1675036800,0,11-280,2941,12627,283
2115,1675036800,0,11-2135-01,1950,12627,552
19203,1675036800,0,11-286,5352,12627,1501
29261,1675036800,0,11-1807-01,11059,10737,604
7770,1675036800,0,11-286,5230,12627,1447
1008,1675036800,0,11-1807-01,5036,12627,1006
24469,1675036800,1,12-132,4421,4391,141
29157,1675036800,1,12-132,4421,4391,175
993,1675036800,0,11-1807-01,9129,10150,1671
28915,1675036800,1,12-4102,6152,6279,95
23951,1675036800,1,12-132,6152,6279,84
24655,1675036800,0,11-7038,5865,12627,528
872,1675036800,0,11-7038,5352,12627,1498
7103,1675036800,0,11-1807,6265,12627,524
12332,1675036800,1,12-132-03,16003,11970,2699
7663,1675036800,0,11-286,5230,5870,967
19701,1675036800,0,11-286,11833,11464,3219
10112,1675036800,1,12-132-03,12393,11915,2889
8175,1675036800,0,11-286,16008,10049,1722
32931,1675036800,1,12-132,4421,12604,78
2014,1675036800,0,11-2135-01,4114,4101,306
23985,1675036800,1,12-132,4421,4519,438
15484,1675036800,1,12-132,4420,4519,377
23821,1675036800,1,12-132,4421,4519,396
25033,1675036800,1,12-132,4420,4519,403
2110,1675036800,0,11-2135-01,4147,4147,935
26753,1675036800,1,12-132,4420,4519,427
7273,1675036800,0,11-286,11412,12650,1930
22526,1675036800,1,12-1303-01,12380,11891,2925
29115,1675036800,1,12-4102,8419,8371,141
11193,1675036800,1,12-132,12607,12607,885
33554,1675036800,1,12-1303-01,12387,11891,2897
14906,1675036800,1,12-132,6996,6321,762
27866,1675036800,1,12-9766,12086,11891,2316
28925,1675036800,1,12-4102,4421,12604,107
27487,1674950400,1,12-7023-02,4421,4391,182
23973,1674950400,1,12-132,4421,4391,187
29943,1674950400,1,12-132,4247,4387,1816
24119,1674950400,1,12-132,12380,11891,2901
8308,1674950400,0,11-286,5036,12606,130
29868,1674950400,1,12-132,6152,6321,107
29043,1674950400,1,12-4102,6152,6321,107
8314,1674950400,0,11-286,11661,10737,2196
25462,1674950400,1,12-132-03,150,2624,2375
23790,1674950400,1,12-132,6152,6321,94
20981,1674950400,1,12-9788-01,6152,6321,115
21272,1674950400,1,12-1303-01,4421,4391,214
19906,1674950400,1,12-9780,4421,4391,181
30087,1674950400,1,12-132,10016,10364,250
24202,1674950400,1,12-1704-04,494,392,840
25596,1674950400,1,12-132-03,4420,4025,958
26437,1674950400,1,12-9780,4025,4025,892
15527,1674950400,1,12-132,12387,10364,42
8958,1674950400,0,11-286,5230,5167,484
29348,1674950400,1,12-132,12340,12212,5857
994,1674950400,0,11-1807-01,498,392,100
24003,1674950400,1,12-132,12380,11891,2894
28707,1674950400,1,12-9788-01,12387,11891,2921
21074,1674950400,1,12-9788-01,8155,8320,196
2009,1674950400,0,11-2135-01,11413,11413,97
26821,1674950400,1,12-132,4421,4387,216
20920,1674950400,1,12-9788-01,4421,12597,783
11064,1674950400,1,12-7023-02,4421,12597,781
7036,1674950400,0,11-1807,5269,5269,235
24078,1674950400,1,12-296-01,6669,6669,692
20762,1674950400,1,12-4102,4420,4025,916
999,1674950400,0,11-1807-01,4214,4214,2048
22104,1674950400,1,12-132,494,392,834
21884,1674950400,1,12-132,4420,4025,923
19214,1674950400,0,11-286,5840,12606,355
27732,1674950400,1,12-132,12380,11891,2869
26854,1674950400,1,12-132,6995,7039,250
21169,1674950400,1,12-132,4421,4387,143
24067,1674950400,1,12-296-01,4421,4387,204
29152,1674950400,1,12-4102,4420,4387,215
24774,1674950400,1,12-132,4421,12597,711
27469,1674950400,1,12-132,4421,12597,801
24024,1674950400,1,12-1704-04,4420,12597,710
26740,1674950400,1,12-132,464,392,860
23765,1674950400,1,12-132,4421,12597,763
28035,1674950400,1,12-132-03,4421,12597,745
19269,1674950400,0,11-286,6629,7039,709
29268,1674950400,0,11-1807-01,6629,7039,623
18476,1674950400,0,11-1807-01,11733,11683,3075
23807,1674950400,1,12-132,8865,8371,349
28470,1674950400,1,12-600-05,12202,11305,5392
19403,1674950400,0,11-286,5919,5870,205
24884,1674950400,1,12-132,10016,10364,175
29872,1674950400,1,12-132,9726,10364,1083
7378,1674950400,0,11-286,9448,8769,2421
28310,1674864000,1,12-132,2199,12594,180
9264,1674864000,0,11-286,5722,5722,81
18517,1674864000,0,11-280,5919,5870,207
24189,1674864000,1,12-132,4420,4519,383
24297,1674864000,1,12-1704-04,12626,6876,98
19275,1674864000,0,11-286,15792,12650,6642
24586,1674864000,0,11-1807-01,392,392,57
10967,1674864000,1,12-132,9726,9744,1096
15132,1674864000,1,12-132,6152,6279,105
19223,1674864000,0,11-286,11626,12650,2841
4821,1674864000,0,11-2135-01,2125,3457,741
30147,1674864000,1,12-132,12419,10364,5852
29640,1674864000,1,12-132,6152,6279,100
33803,1674864000,1,12-1303-01,498,392,804
4597,1674864000,0,11-9962,13223,3457,400
21707,1674864000,1,12-132,12202,11891,2709
909,1674864000,0,11-1807-01,5840,7117,919
21905,1674864000,1,12-132,11412,10364,1385
24719,1674864000,1,12-132,12920,4025,1842
21865,1674864000,1,12-132,12393,11891,2939
26084,1674864000,1,12-132-03,3192,12595,790
27585,1674864000,1,12-132,4421,4519,443
27461,1674864000,1,12-1303-01,11518,11481,154
27053,1674864000,1,12-132-03,4421,4519,420
28078,1674864000,1,12-132-03,12349,11970,2766
25368,1674864000,1,12-132-03,6152,5870,301
323,1674864000,0,11-280,11775,12650,3470
27217,1674864000,1,12-132,2137,2530,477
26667,1674864000,1,12-132,2366,2530,691
14039,1674864000,1,12-132,6152,6279,107
25250,1674864000,1,12-296-01,6152,6279,100
4220,1674864000,0,11-2135-01,5283,12627,1392
25215,1674864000,1,12-132,4711,6279,516
25619,1674864000,1,12-132-03,12393,11891,2934
11192,1674864000,1,12-132,4421,2624,751
20755,1674864000,1,12-4102,4711,5937,441
2247,1674864000,0,11-2135-01,5283,12627,1388
2162,1674864000,0,11-2135-01,3780,4025,895
26906,1674864000,1,12-132,4421,4519,423
9646,1674864000,0,11-286,10518,10150,295
9593,1674864000,0,11-286,4214,4025,1394
15027,1674864000,1,12-132,8371,11619,98
25647,1674864000,1,12-132-03,9737,9744,1183
23348,1674864000,1,12-132,6152,6279,74
28777,1674777600,1,12-9788-01,446,392,799
26061,1674777600,1,12-132-03,6152,6168,184
25316,1674777600,1,12-132-03,12387,11970,2941
21790,1674777600,1,12-1704-04,11497,10364,1724
8578,1674777600,0,11-286,5230,5870,969
25127,1674777600,1,12-1303-01,6152,6168,101
10768,1674777600,1,12-132,9019,9196,167
29714,1674777600,1,12-132,10016,10364,204
8242,1674777600,0,11-286,6152,6168,137
17273,1674777600,1,12-132,12387,10364,6033
28224,1674777600,1,12-132-03,6152,6168,113
30311,1674777600,1,12-132,6152,6168,150
7040,1674777600,0,11-1807,12382,10364,6011
14299,1674777600,1,12-132,6152,6168,151
6532,1674777600,0,11-280,6051,6168,811
23748,1674777600,1,12-132,2694,2661,106
19047,1674777600,0,11-280,12604,4387,124
24444,1674777600,1,12-132,430,392,847
23353,1674777600,1,12-132,12393,10364,134
25976,1674777600,1,12-132-03,4421,4519,429
26675,1674777600,1,12-132,4421,4519,414
32355,1674777600,1,12-196-02,16003,10364,5361
32968,1674777600,1,12-132,8618,8320,493
26725,1674777600,1,12-132,4421,4519,360
25637,1674777600,1,12-132-03,11412,11305,1374
24335,1674777600,1,12-132,10375,10364,129
21828,1674777600,1,12-132,10375,10364,168
29069,1674777600,1,12-295,10177,10364,493
22876,1674777600,1,12-132,4420,12597,717
30264,1674777600,1,12-132,4421,12597,761
29839,1674777600,1,12-132,12597,1862,15
14739,1674777600,1,12-132,4789,4789,2
28387,1674777600,1,12-132,5310,5310,849
9830,1674777600,0,11-286,6347,6168,255
15607,1674777600,1,12-132,16003,11915,2707
11430,1674777600,1,12-132-03,6152,6168,103
19028,1674777600,0,11-280-01,8882,8693,166
33734,1674777600,1,12-196-02,8951,10364,1859
25356,1674777600,1,12-132-03,12387,11891,2902
25897,1674777600,1,12-132-03,16003,11891,2729
21128,1674777600,1,12-132,4421,12595,720
27237,1674777600,1,12-7023-02,10375,10364,119
25700,1674777600,1,12-132-03,4421,12597,787
33444,1674777600,1,12-1303-01,12393,11305,6002
21216,1674777600,1,12-1303-01,4420,12597,784
5090,1674777600,0,11-2135-01,11212,11409,2313
29793,1674777600,1,12-132,4420,12597,769
26101,1674777600,1,12-132-03,12393,12118,2944
16794,1674777600,1,12-7023-02,4420,12597,708
19294,1674777600,0,11-286,11412,12650,1923
15985,1674777600,0,11-280,12042,12650,5183
5019,1674777600,0,11-2135-01,12650,12650,91
9589,1674777600,0,11-286,6515,6168,491
26857,1674777600,1,12-132,446,392,796
30593,1674777600,1,12-7023-02,4421,12597,729
27659,1674777600,1,12-132,4421,12595,715
26315,1674777600,1,12-132,12322,11891,2706
14128,1674777600,1,12-132,4386,4386,3572
31299,1674777600,1,12-132,446,594,233
28699,1674777600,1,12-9788-01,12387,11891,2936
27284,1674777600,0,11-7038,16008,10951,1389
9392,1674777600,0,11-286,8882,8693,203
23753,1674777600,1,12-132,10375,10364,73
