wagnum,rem_month,kod_vrab,neis1_kod,neis2_kod,neis3_kod,mod1_kod,mod2_kod,mod3_kod,mod4_kod,mod5_kod,mod6_kod,mod7_kod,road_id_send,gr_probeg,por_probeg,st_id_send
29938,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,87913,37467,10522
29938,2022-08-01,3,14,98,54,7,4,2,0,0,0,0,38,87913,37467,10441
29852,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,81824,45579,4789
29852,2022-08-01,2,36,98,54,7,4,2,0,0,0,0,28,81824,45579,4789
13674,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,28,64130,34697,4789
13674,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,64130,34697,4789
1145,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,3,89735,39549,392
1145,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,3,89735,39549,392
2430,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,25,68986,26528,5380
2430,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,25,68986,26528,12611
1900,2022-08-01,3,76,97,54,7,4,2,0,0,0,0,40,114952,24372,10951
1961,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,93555,33454,9965
1961,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,38,93555,33454,9965
1997,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,42,87890,26971,11305
1997,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,42,87890,26971,11413
1008,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,44,88442,21628,12429
1008,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,44,88442,21628,12429
1008,2022-08-01,2,31,98,54,7,4,2,0,0,0,0,44,88442,21628,12437
1008,2022-08-01,2,31,98,54,7,4,2,0,0,0,0,44,88442,21628,12437
5374,2022-08-01,3,28,95,54,7,4,2,0,0,0,0,37,75099,19226,12647
5772,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,37,66821,40464,9275
5772,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,37,66821,40195,9519
