,wagnum,model,rod_id,gruz,cnsi_gruz_capacity,cnsi_volumek,tara,date_build,srok_sl,zavod_build,date_iskl,cnsi_probeg_dr,cnsi_probeg_kr,kuzov,telega,tormoz,tipvozd,tippogl,norma_km
3218,26318,12-600-04,1,682,682,85.0,240,725241600,1651017600,5,0,160,160,2,9,3,6,11,110000
19128,28344,12-132,1,700,700,88.0,240,1060646400,1734998400,0,0,110,160,2,9,2,1,12,0
21526,8099,11-286,0,670,670,138.0,270,809827200,1822348800,1,1,110,160,2,9,2,1,1,160000
32353,33350,12-9850-02,1,750,750,90.0,248,1414368000,2432937600,19,1,250,500,2,11,2,7,12,250000
81,5308,11-276,0,680,680,122.0,260,811296000,1822089600,1,1,110,160,2,9,2,1,11,160000
108,16521,11-270,0,688,688,122.0,240,742003200,1746489600,1,1,110,160,2,9,2,1,11,110000
228,6387,11-276,0,680,680,122.0,260,678240000,1741132800,1,1,110,160,2,9,3,1,1,0
244,6592,11-280,0,680,680,138.0,260,693619200,1750982400,1,1,110,160,2,9,2,1,11,110000
253,16484,11-270,0,688,688,122.0,240,758332800,1682640000,1,1,110,160,2,9,2,1,2,160000
384,7000,11-280,0,680,680,138.0,260,737856000,1790899200,1,1,110,160,2,9,2,1,1,160000
639,6402,11-276,0,680,680,122.0,260,707356800,1749686400,1,0,110,160,2,9,3,1,11,0
792,6442,11-276,0,680,680,122.0,260,698284800,1692489600,1,1,110,160,2,9,2,1,6,110000
951,6479,11-280,0,680,680,138.0,260,701308800,1729382400,1,1,110,160,2,9,2,1,2,160000
1115,16481,11-270,0,688,688,122.0,240,718416000,1736380800,1,1,110,160,2,9,2,1,12,160000
1116,37,11-276,0,680,680,122.0,250,784166400,1753315200,1,1,110,160,2,9,2,1,11,160000
1375,5924,11-276,0,680,680,122.0,260,757728000,1820275200,1,1,110,160,2,9,3,1,11,0
1473,16480,11-270,0,688,688,122.0,240,712540800,1724889600,1,1,110,160,2,9,2,1,2,0
1949,6385,11-276,0,680,680,122.0,260,705283200,1695427200,1,1,110,160,2,9,3,1,11,160000
2121,6709,11-280,0,680,680,138.0,260,797472000,1771459200,1,1,110,160,2,9,2,1,4,160000
2244,6453,11-276,0,680,680,122.0,260,767318400,1787961600,1,1,110,160,2,9,2,1,1,160000
2541,6440,11-276,0,680,680,122.0,260,777945600,1742428800,1,1,110,160,2,9,2,1,2,110000
2561,6596,11-280,0,680,680,138.0,260,736473600,1746662400,1,1,110,160,2,9,2,1,11,0
2697,6989,11-280,0,680,680,138.0,260,702691200,1762905600,1,1,110,160,2,9,2,1,2,0
2780,6341,11-276,0,680,680,122.0,260,758937600,1760054400,1,1,110,160,2,9,3,1,6,160000
2783,6591,11-280,0,680,680,138.0,260,670464000,1723766400,1,1,110,160,2,9,2,1,1,0
2838,16478,11-270,0,688,688,122.0,247,694224000,1726358400,1,1,110,160,2,9,2,6,11,110000
2848,6443,11-276,0,680,680,122.0,244,758592000,1765843200,1,1,110,160,2,9,2,1,2,110000
3065,6475,11-276,0,680,680,122.0,260,758678400,1728691200,1,1,110,160,2,9,3,1,5,0
3151,6431,11-276,0,680,680,122.0,260,738806400,1790640000,1,1,110,160,2,9,3,1,11,160000
3159,6580,11-280,0,680,680,138.0,260,762048000,1744329600,1,1,110,160,2,9,2,1,11,160000
3187,5320,11-276,0,680,680,122.0,260,705801600,1726704000,1,1,110,160,2,9,3,1,2,160000
3190,6415,11-276,0,680,680,122.0,244,748224000,1766361600,1,1,110,160,2,9,2,1,11,110000
3213,5926,11-276,0,680,680,122.0,260,710035200,1802476800,1,1,110,160,2,9,3,1,2,0
3431,6406,11-276,0,680,680,122.0,260,702691200,1738972800,1,1,110,160,2,9,3,1,1,0
3470,6446,11-276,0,680,680,122.0,244,762825600,1763510400,1,1,110,160,2,9,2,1,11,110000
3585,6984,11-280,0,680,680,138.0,260,684547200,1763078400,1,1,110,160,2,9,2,1,11,160000
3623,6412,11-276,0,680,680,122.0,244,767923200,1712016000,1,1,110,160,2,9,2,1,1,160000
3673,6966,11-280,0,680,680,138.0,260,698198400,1719014400,1,1,110,160,2,9,2,1,1,110000
3778,6994,11-280,0,680,680,138.0,260,717206400,1756425600,1,1,110,160,2,9,2,1,11,160000
3836,6599,11-280,0,680,680,138.0,260,773193600,1709337600,1,1,110,160,2,9,2,1,1,110000
4097,5916,11-276,0,680,680,122.0,260,791683200,1711065600,1,1,110,160,2,9,3,1,2,110000
4270,6694,11-280,0,680,680,138.0,260,727920000,1762732800,1,1,110,160,2,9,2,1,1,160000
4460,5321,11-276,0,680,680,122.0,244,780710400,1781308800,1,1,110,160,2,9,2,4,11,160000
