,wagnum,month,target_month,target_day
0,33361,2023-03-01,1,1
1,33364,2023-03-01,1,1
2,33366,2023-03-01,1,1
3,33358,2023-03-01,1,1
4,33349,2023-03-01,1,1
5,33354,2023-03-01,1,1
6,33355,2023-03-01,1,1
7,33356,2023-03-01,1,1
8,33370,2023-03-01,1,1
9,33373,2023-03-01,1,1
10,33375,2023-03-01,1,1
11,29889,2023-03-01,1,1
12,29890,2023-03-01,1,1
13,29894,2023-03-01,1,1
14,29895,2023-03-01,1,1
15,29896,2023-03-01,1,1
16,29898,2023-03-01,1,1
17,29904,2023-03-01,1,1
18,29906,2023-03-01,1,1
19,29907,2023-03-01,1,1
20,29914,2023-03-01,1,1
21,29916,2023-03-01,1,1
22,29923,2023-03-01,1,1
23,29928,2023-03-01,1,1
24,29930,2023-03-01,1,1
25,29933,2023-03-01,1,1
26,29935,2023-03-01,1,1
27,29938,2023-03-01,1,1
28,29942,2023-03-01,1,1
29,29944,2023-03-01,1,1
30,29948,2023-03-01,1,1
31,29950,2023-03-01,1,1
32,29952,2023-03-01,1,1
33,29822,2023-03-01,1,1
34,29823,2023-03-01,1,1
35,29824,2023-03-01,1,1
36,29826,2023-03-01,1,1
37,29830,2023-03-01,1,1
38,29831,2023-03-01,1,1
39,29840,2023-03-01,1,1
40,29844,2023-03-01,1,1
41,29845,2023-03-01,1,1
42,29850,2023-03-01,1,1
43,29852,2023-03-01,1,1
44,29854,2023-03-01,1,1
45,29856,2023-03-01,1,1
46,29857,2023-03-01,1,1
47,29859,2023-03-01,1,1
48,29860,2023-03-01,1,1
49,29863,2023-03-01,1,1
50,29865,2023-03-01,1,1
51,29867,2023-03-01,1,1
52,29868,2023-03-01,1,1
53,29874,2023-03-01,1,1
54,29876,2023-03-01,1,1
55,29886,2023-03-01,1,1
56,29887,2023-03-01,1,1
57,29811,2023-03-01,1,1
58,29813,2023-03-01,1,1
59,29814,2023-03-01,1,1
60,29815,2023-03-01,1,1
61,29800,2023-03-01,1,1
62,29802,2023-03-01,1,1
63,29804,2023-03-01,1,1
64,29809,2023-03-01,1,1
65,33339,2023-03-01,1,1
66,33342,2023-03-01,1,1
67,33337,2023-03-01,1,1
68,5624,2023-03-01,1,1
69,5768,2023-03-01,1,1
70,6163,2023-03-01,1,1
71,6169,2023-03-01,1,1
72,2052,2023-03-01,1,1
73,6039,2023-03-01,1,1
74,6642,2023-03-01,1,1
75,7462,2023-03-01,1,1
76,8040,2023-03-01,1,1
77,8148,2023-03-01,1,1
78,9083,2023-03-01,1,1
79,9739,2023-03-01,1,1
80,16629,2023-03-01,1,1
81,16803,2023-03-01,1,1
82,19634,2023-03-01,1,1
83,32759,2023-03-01,1,1
84,6356,2023-03-01,1,1
85,2035,2023-03-01,1,1
86,6576,2023-03-01,1,1
87,7030,2023-03-01,1,1
88,7715,2023-03-01,1,1
89,5368,2023-03-01,1,1
90,6077,2023-03-01,1,1
91,6639,2023-03-01,1,1
92,6752,2023-03-01,1,1
