iter	Passed	Remaining
0	14	29486
1	27	27428
2	37	24794
3	49	24928
4	60	24284
5	74	24749
6	86	24705
7	99	24705
8	111	24683
9	123	24603
10	134	24250
11	146	24309
12	158	24270
13	172	24404
14	183	24316
15	195	24301
16	206	24058
17	218	24030
18	230	24008
19	240	23850
20	253	23845
21	265	23883
22	278	23928
23	290	23957
24	303	23969
25	315	23960
26	326	23850
27	338	23874
28	352	23938
29	364	23936
30	376	23897
31	390	23993
32	404	24122
33	418	24226
34	432	24269
35	445	24286
36	458	24350
37	471	24361
38	485	24405
39	498	24428
40	510	24411
41	522	24350
42	535	24357
43	547	24344
44	559	24327
45	572	24326
46	585	24342
47	597	24315
48	610	24293
49	622	24281
50	635	24271
51	647	24250
52	660	24267
53	672	24250
54	685	24229
55	697	24204
56	708	24139
57	720	24123
58	733	24120
59	745	24100
60	757	24083
61	770	24079
62	782	24062
63	795	24051
64	807	24029
65	819	24016
66	831	23997
67	844	23993
68	856	23962
69	868	23951
70	881	23936
71	893	23933
72	906	23927
73	918	23918
74	931	23910
75	943	23887
76	954	23840
77	966	23813
78	977	23763
79	989	23756
80	1000	23708
81	1011	23660
82	1024	23656
83	1035	23618
84	1047	23600
85	1060	23591
86	1071	23569
87	1084	23565
88	1097	23558
89	1107	23498
90	1119	23482
91	1131	23470
92	1142	23431
93	1154	23400
94	1166	23387
95	1178	23364
96	1188	23322
97	1200	23308
98	1211	23263
99	1222	23218
100	1233	23199
101	1243	23145
102	1256	23142
103	1268	23119
104	1278	23080
105	1290	23056
106	1300	23008
107	1312	22985
108	1323	22957
109	1334	22928
110	1344	22887
111	1355	22846
112	1367	22839
113	1378	22800
114	1390	22785
115	1403	22787
116	1415	22782
117	1428	22776
118	1441	22780
119	1453	22772
120	1463	22729
121	1476	22721
122	1488	22718
123	1499	22682
124	1510	22660
125	1522	22649
126	1533	22623
127	1545	22595
128	1556	22571
129	1568	22562
130	1579	22534
131	1589	22492
132	1625	22816
133	1638	22809
134	1650	22798
135	1661	22771
136	1673	22760
137	1686	22752
138	1698	22746
139	1711	22737
140	1724	22730
141	1735	22705
142	1746	22679
143	1758	22671
144	1770	22655
145	1780	22615
146	1794	22615
147	1806	22602
148	1818	22584
149	1830	22574
150	1842	22559
151	1854	22548
152	1866	22537
153	1878	22523
154	1891	22514
155	1903	22503
156	1914	22477
157	1925	22451
158	1937	22434
159	1949	22419
160	1960	22398
161	1971	22370
162	1983	22353
163	1995	22341
164	2007	22326
165	2019	22308
166	2029	22280
167	2041	22257
168	2053	22251
169	2066	22246
170	2079	22240
171	2088	22198
172	2101	22196
173	2120	22253
174	2135	22271
175	2150	22291
176	2164	22288
177	2176	22283
178	2187	22254
179	2199	22243
180	2210	22219
181	2223	22208
182	2238	22224
183	2252	22234
184	2267	22246
185	2282	22257
186	2295	22253
187	2306	22228
188	2318	22215
189	2330	22202
190	2342	22181
191	2353	22161
192	2366	22156
193	2378	22140
194	2390	22126
195	2402	22108
196	2413	22085
197	2425	22071
198	2435	22044
199	2448	22035
200	2460	22022
201	2470	21991
202	2481	21966
203	2493	21954
204	2503	21917
205	2515	21904
206	2525	21879
207	2537	21858
208	2549	21846
209	2560	21828
210	2572	21812
211	2583	21789
212	2595	21775
213	2607	21761
214	2618	21736
215	2630	21728
216	2642	21712
217	2654	21697
218	2665	21681
219	2675	21649
220	2688	21644
221	2700	21627
222	2712	21617
223	2724	21602
224	2737	21593
225	2747	21564
226	2758	21547
227	2771	21540
228	2779	21495
229	2791	21479
230	2802	21460
231	2814	21448
232	2825	21429
233	2836	21409
234	2849	21400
235	2860	21377
236	2871	21363
237	2882	21341
238	2893	21319
239	2903	21292
240	2915	21278
241	2925	21254
242	2938	21244
243	2947	21213
244	2957	21184
245	2969	21174
246	2979	21144
247	2991	21135
248	3002	21111
249	3013	21095
250	3025	21084
251	3037	21072
252	3047	21042
253	3059	21029
254	3071	21019
255	3084	21010
256	3095	20996
257	3108	20985
258	3118	20964
259	3130	20948
260	3138	20908
261	3150	20896
262	3161	20883
263	3173	20865
264	3184	20847
265	3195	20831
266	3205	20804
267	3216	20784
268	3228	20773
269	3239	20757
270	3251	20747
271	3262	20729
272	3270	20691
273	3282	20679
274	3295	20669
275	3307	20657
276	3315	20625
277	3327	20612
278	3340	20603
279	3351	20584
280	3362	20572
281	3375	20561
282	3386	20549
283	3399	20542
284	3408	20508
285	3416	20477
286	3429	20468
287	3440	20454
288	3452	20440
289	3465	20431
290	3476	20415
291	3488	20404
292	3498	20380
293	3507	20350
294	3519	20341
295	3533	20342
296	3546	20333
297	3558	20326
298	3567	20294
299	3578	20276
300	3590	20266
301	3602	20252
302	3613	20239
303	3625	20227
304	3638	20219
305	3650	20210
306	3662	20196
307	3674	20186
308	3686	20172
309	3698	20163
310	3709	20145
311	3721	20135
312	3729	20102
313	3739	20077
314	3750	20063
315	3760	20039
316	3772	20027
317	3780	19997
318	3793	19988
319	3803	19970
320	3816	19962
321	3829	19955
322	3842	19947
323	3849	19912
324	3860	19896
325	3870	19877
326	3883	19867
327	3894	19850
328	3905	19834
329	3917	19826
330	3929	19814
331	3940	19795
332	3950	19775
333	3961	19760
334	3973	19751
335	3986	19740
336	3997	19725
337	4009	19714
338	4021	19704
339	4033	19695
340	4044	19679
341	4052	19645
342	4064	19634
343	4076	19623
344	4086	19604
345	4098	19594
346	4111	19583
347	4119	19556
348	4129	19536
349	4140	19520
350	4152	19510
351	4164	19497
352	4174	19476
353	4185	19461
354	4197	19452
355	4210	19443
356	4222	19433
357	4234	19422
358	4244	19402
359	4257	19394
360	4266	19371
361	4279	19362
362	4289	19345
363	4301	19334
364	4310	19307
365	4320	19290
366	4331	19271
367	4341	19254
368	4353	19242
369	4365	19233
370	4377	19222
371	4390	19214
372	4402	19204
373	4413	19186
374	4424	19172
375	4436	19160
376	4448	19149
377	4459	19136
378	4467	19109
379	4480	19101
380	4492	19092
381	4502	19069
382	4514	19058
383	4525	19046
384	4538	19036
385	4546	19008
386	4557	18995
387	4569	18986
388	4582	18976
389	4594	18966
390	4604	18946
391	4615	18935
392	4626	18919
393	4634	18891
394	4645	18877
395	4655	18858
396	4666	18841
397	4676	18824
398	4687	18807
399	4699	18799
400	4712	18791
401	4724	18779
402	4736	18767
403	4748	18757
404	4760	18748
405	4772	18738
406	4783	18722
407	4795	18711
408	4807	18702
409	4818	18687
410	4830	18676
411	4842	18665
412	4850	18639
413	4862	18628
414	4873	18612
415	4885	18601
416	4898	18594
417	4909	18580
418	4920	18565
419	4929	18543
420	4941	18532
421	4952	18519
422	4963	18504
423	4975	18493
424	4986	18480
425	4997	18464
426	5009	18453
427	5021	18444
428	5032	18429
429	5044	18419
430	5055	18405
431	5067	18394
432	5079	18381
433	5091	18369
434	5102	18358
435	5113	18343
436	5125	18331
437	5136	18319
438	5149	18309
439	5160	18295
440	5169	18274
441	5181	18264
442	5191	18245
443	5203	18235
444	5215	18224
445	5227	18214
446	5237	18197
447	5248	18182
448	5259	18169
449	5272	18160
450	5284	18150
451	5297	18141
452	5308	18127
453	5318	18111
454	5331	18102
455	5343	18093
456	5356	18083
457	5368	18074
458	5381	18066
459	5393	18055
460	5403	18038
461	5413	18022
462	5426	18012
463	5437	17999
464	5449	17988
465	5460	17975
466	5472	17964
467	5484	17953
468	5496	17943
469	5506	17925
470	5516	17909
471	5528	17897
472	5538	17881
473	5551	17873
474	5562	17857
475	5572	17842
476	5584	17829
477	5595	17815
478	5606	17803
479	5618	17792
480	5631	17783
481	5641	17768
482	5651	17751
483	5665	17745
484	5675	17728
485	5687	17717
486	5698	17703
487	5709	17689
488	5720	17675
489	5730	17660
490	5742	17647
491	5752	17631
492	5762	17615
493	5774	17604
494	5784	17587
495	5795	17572
496	5807	17561
497	5817	17547
498	5828	17532
499	5839	17519
500	5852	17511
501	5863	17498
502	5875	17487
503	5886	17471
504	5898	17461
505	5910	17451
506	5921	17436
507	5934	17430
508	5945	17416
509	5955	17399
510	5965	17384
511	5978	17373
512	5988	17359
513	6001	17350
514	6013	17338
515	6023	17324
516	6035	17313
517	6048	17305
518	6060	17294
519	6073	17287
520	6083	17270
521	6093	17254
522	6106	17245
523	6116	17230
524	6129	17220
525	6141	17209
526	6152	17196
527	6162	17181
528	6174	17170
529	6185	17155
530	6197	17146
531	6208	17131
532	6220	17120
533	6231	17106
534	6242	17092
535	6254	17082
536	6266	17072
537	6277	17058
538	6287	17043
539	6299	17033
540	6311	17021
541	6322	17007
542	6334	16996
543	6345	16984
544	6358	16976
545	6369	16961
546	6381	16951
547	6393	16940
548	6403	16925
549	6414	16910
550	6426	16899
551	6437	16886
552	6449	16875
553	6461	16865
554	6472	16852
555	6483	16837
556	6493	16822
557	6504	16809
558	6516	16798
559	6528	16788
560	6541	16780
561	6554	16770
562	6565	16757
563	6577	16746
564	6589	16735
565	6601	16724
566	6612	16713
567	6624	16700
568	6636	16689
569	6648	16678
570	6660	16667
571	6672	16657
572	6684	16645
573	6696	16635
574	6708	16625
575	6720	16614
576	6732	16604
577	6744	16593
578	6755	16580
579	6767	16569
580	6780	16561
581	6793	16552
582	6805	16540
583	6817	16529
584	6829	16520
585	6842	16510
586	6854	16500
587	6866	16489
588	6879	16479
589	6890	16466
590	6902	16455
591	6913	16444
592	6926	16435
593	6939	16425
594	6951	16416
595	6963	16404
596	6975	16393
597	6988	16383
598	7000	16372
599	7011	16359
600	7023	16349
601	7034	16337
602	7047	16326
603	7059	16317
604	7072	16307
605	7083	16295
606	7095	16283
607	7108	16273
608	7119	16261
609	7130	16248
610	7141	16235
611	7153	16224
612	7167	16216
613	7179	16205
614	7191	16194
615	7203	16183
616	7214	16171
617	7228	16164
618	7244	16162
619	7257	16153
620	7268	16140
621	7280	16129
622	7290	16114
623	7304	16106
624	7315	16094
625	7326	16080
626	7339	16072
627	7352	16062
628	7367	16058
629	7380	16049
630	7391	16036
631	7404	16027
632	7416	16017
633	7429	16006
634	7441	15995
635	7452	15983
636	7464	15972
637	7476	15961
638	7489	15952
639	7503	15944
640	7516	15935
641	7528	15925
642	7541	15915
643	7552	15901
644	7563	15888
645	7575	15878
646	7587	15866
647	7597	15852
648	7610	15842
649	7622	15832
650	7634	15821
651	7646	15809
652	7658	15798
653	7670	15786
654	7682	15774
655	7694	15763
656	7704	15749
657	7715	15736
658	7728	15726
659	7740	15715
660	7750	15700
661	7763	15691
662	7776	15681
663	7788	15670
664	7800	15660
665	7811	15646
666	7824	15637
667	7836	15626
668	7848	15614
669	7860	15603
670	7871	15590
671	7884	15580
672	7897	15571
673	7910	15562
674	7922	15550
675	7932	15535
676	7945	15526
677	7957	15515
678	7970	15506
679	7983	15496
680	7996	15488
681	8009	15479
682	8021	15467
683	8033	15456
684	8045	15445
685	8057	15434
686	8069	15423
687	8081	15411
688	8094	15401
689	8106	15391
690	8118	15379
691	8128	15364
692	8140	15353
693	8153	15343
694	8163	15329
695	8176	15318
696	8188	15307
697	8200	15297
698	8211	15283
699	8223	15272
700	8235	15260
701	8247	15249
702	8258	15237
703	8271	15226
704	8283	15215
705	8295	15205
706	8309	15195
707	8321	15185
708	8332	15172
709	8344	15160
710	8355	15148
711	8367	15136
712	8379	15125
713	8391	15114
714	8404	15104
715	8416	15093
716	8429	15083
717	8440	15071
718	8453	15061
719	8466	15050
720	8478	15039
721	8489	15027
722	8501	15015
723	8513	15004
724	8524	14991
725	8536	14980
726	8548	14969
727	8560	14957
728	8573	14947
729	8585	14936
730	8596	14923
731	8610	14915
732	8622	14904
733	8634	14893
734	8646	14881
735	8659	14871
736	8669	14857
737	8681	14844
738	8692	14832
739	8704	14821
740	8715	14808
741	8726	14795
742	8738	14783
743	8751	14774
744	8763	14762
745	8774	14749
746	8785	14736
747	8799	14727
748	8811	14716
749	8821	14703
750	8834	14692
751	8846	14681
752	8858	14670
753	8869	14656
754	8882	14648
755	8896	14639
756	8909	14629
757	8922	14619
758	8935	14609
759	8947	14598
760	8959	14587
761	8971	14575
762	8983	14564
763	8996	14554
764	9008	14543
765	9020	14532
766	9032	14521
767	9045	14510
768	9058	14499
769	9071	14491
770	9083	14479
771	9096	14469
772	9109	14459
773	9122	14449
774	9133	14437
775	9146	14426
776	9158	14415
777	9170	14404
778	9182	14393
779	9193	14379
780	9204	14366
781	9216	14355
782	9227	14342
783	9239	14331
784	9252	14320
785	9264	14309
786	9276	14297
787	9287	14285
788	9301	14275
789	9313	14264
790	9325	14253
791	9335	14238
792	9347	14227
793	9359	14215
794	9369	14202
795	9382	14191
796	9395	14181
797	9407	14170
798	9419	14158
799	9430	14145
800	9443	14135
801	9456	14126
802	9469	14115
803	9481	14104
804	9495	14095
805	9507	14084
806	9518	14071
807	9529	14057
808	9541	14047
809	9553	14035
810	9564	14022
811	9577	14012
812	9589	14000
813	9601	13989
814	9612	13976
815	9623	13964
816	9635	13952
817	9646	13938
818	9658	13928
819	9670	13916
820	9682	13904
821	9695	13893
822	9707	13882
823	9719	13871
824	9729	13857
825	9741	13845
826	9753	13833
827	9765	13822
828	9777	13811
829	9790	13801
830	9803	13790
831	9816	13780
832	9828	13768
833	9838	13755
834	9851	13744
835	9862	13731
